GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE102004,HMSC,ko,ATF6 + late passage,?,GSM2720316;GSM2720317,GSM2720318;GSM2720319
GSE102004,White Adipocytes (hWAPC),ko,ATF6,?,GSM2720328;GSM2720329,GSM2720334;GSM2720335
GSE102004,White Adipocytes (hWAPC),ko,ATF6 + tunicamycin,?,GSM2720330;GSM2720331,GSM2720332;GSM2720333
GSE102004,HMSC,ko,ATF6,?,GSM2720336;GSM2720337,GSM2720342;GSM2720343
GSE102004,HMSC,ko,ATF6 + tunicamycin,?,GSM2720338;GSM2720339,GSM2720340;GSM2720341
GSE102460,B cells,siRNA,BACH2,?,GSM2738056;GSM2738057;GSM2738058,GSM2738053;GSM2738054;GSM2738055
GSE102498,HCAECs,siRNA,JCAD,?,GSM2739665;GSM2739666;GSM2739667,GSM2739663;GSM2739664
GSE102582,erythroblasts,shRNA,NCOA4,?,GSM2741438;GSM2741439,GSM2741436;GSM2741437
GSE102864,NHDF,shRNA,PTP4A1,?,GSM2747358;GSM2747359;GSM2747363;GSM2747364;GSM2747365;GSM2747369;GSM2747370;GSM2747371;GSM2747375,GSM2747360;GSM2747361;GSM2747362;GSM2747366;GSM2747367;GSM2747368;GSM2747372;GSM2747373;GSM2747374
GSE103122,CD34+,shRNA,RIOK3,?,GSM2754178;GSM2754179;GSM2754180;GSM2754181,GSM2754182;GSM2754183;GSM2754184;GSM2754185
GSE104759,HMLE,shRNA,SOX4,?,GSM2807293;GSM2807294,GSM2807289;GSM2807290
GSE104759,HMLE,shRNA,SOX4 + TGF-beta,?,GSM2807295;GSM2807296,GSM2807291;GSM2807292
GSE105951,IMR-90,shRNA,EP300,?,GSM2828809;GSM2828812,GSM2828811;GSM2828814
GSE105951,IMR-90,shRNA,EP300,?,GSM2828810;GSM2828813,GSM2828811;GSM2828814
GSE106170,UCBC,siRNA,NAP1L3,?,GSM2830961;GSM2830962;GSM2830963,GSM2830958;GSM2830959;GSM2830960
GSE106537,primary erythroid cells,shRNA,UCA1,?,GSM2840123;GSM2840124,GSM2840121;GSM2840122
GSE106566,primary erythroid cells,shRNA,PTBP1,?,GSM2842779;GSM2842780,GSM2842777;GSM2842778
GSE106661,endometrial epithelial cells,ko,ARID1A + Starvation,?,GSM2844646;GSM2844647;GSM3537269;GSM3537270,GSM2844644;GSM2844645;GSM3537267;GSM3537268
GSE106661,endometrial epithelial cells,ko,ARID1A,?,GSM2844650;GSM2844651;GSM3537273;GSM3537274,GSM2844648;GSM2844649;GSM3537271;GSM3537272
GSE107878,Neuron,ko,SCN2A,?,GSM2884977;GSM2885013;GSM2885014;GSM2885015,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,KCNQ2,?,GSM2884978;GSM2884991;GSM2884992;GSM2885012,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,ASTN2,?,GSM2884979;GSM2884995;GSM2884999,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,CHD8,?,GSM2884980;GSM2885004;GSM2885005;GSM2885006,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,ATRX,?,GSM2884981;GSM2884989;GSM2885000;GSM2885001,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,DLGAP2,?,GSM2884982;GSM2884990;GSM2885007;GSM2885008,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,CACNA1C,?,GSM2884983;GSM2885002;GSM2885003,GSM2884974;GSM2884975;GSM2884976;GSM2884986
GSE107878,Neuron,ko,AFF2,?,GSM2884984;GSM2884988;GSM2884996;GSM2884997;GSM2884998,GSM2884974;GSM2884975;GSM2884976;GSM2884986
