"","gene"
"1","ENSG00000121410"
"2","ENSG00000148584"
"3","ENSG00000175899"
"4","ENSG00000166535"
"5","ENSG00000256069"
"6","ENSG00000128274"
"7","ENSG00000118017"
"8","ENSG00000291836"
"9","ENSG00000081760"
"10","ENSG00000250420"
"11","ENSG00000114771"
"12","ENSG00000197953"
"13","ENSG00000188984"
"14","ENSG00000240602"
"15","ENSG00000109576"
"16","ENSG00000103591"
"17","ENSG00000115977"
"18","ENSG00000087884"
"19","ENSG00000127837"
"20","ENSG00000129673"
"21","ENSG00000131043"
"22","ENSG00000205002"
"23","ENSG00000124608"
"24","ENSG00000266967"
"25","ENSG00000157426"
"26","ENSG00000149313"
"27","ENSG00000008311"
"28","ENSG00000276072"
"29","ENSG00000181409"
"30","ENSG00000183044"
"31","ENSG00000165029"
"32","ENSG00000154263"
"33","ENSG00000251595"
"34","ENSG00000144452"
"35","ENSG00000179869"
"36","ENSG00000238098"
"37","ENSG00000107331"
"38","ENSG00000167972"
"39","ENSG00000198691"
"40","ENSG00000154265"
"41","ENSG00000154262"
"42","ENSG00000064687"
"43","ENSG00000141338"
"44","ENSG00000154258"
"45","ENSG00000085563"
"46","ENSG00000135776"
"47","ENSG00000282004"
"48","ENSG00000276582"
"49","ENSG00000005471"
"50","ENSG00000004846"
"51","ENSG00000115657"
"52","ENSG00000131269"
"53","ENSG00000197150"
"54","ENSG00000150967"
"55","ENSG00000278183"
"56","ENSG00000124574"
"57","ENSG00000121270"
"58","ENSG00000140798"
"59","ENSG00000243064"
"60","ENSG00000023839"
"61","ENSG00000108846"
"62","ENSG00000125257"
"63","ENSG00000114770"
"64","ENSG00000275331"
"65","ENSG00000291057"
"66","ENSG00000273808"
"67","ENSG00000006071"
"68","ENSG00000069431"
"69","ENSG00000101986"
"70","ENSG00000173208"
"71","ENSG00000117528"
"72","ENSG00000119688"
"73","ENSG00000164163"
"74","ENSG00000204574"
"75","ENSG00000033050"
"76","ENSG00000161204"
"77","ENSG00000160179"
"78","ENSG00000118777"
"79","ENSG00000172350"
"80","ENSG00000138075"
"81","ENSG00000143921"
"82","ENSG00000143994"
"83","ENSG00000144827"
"84","ENSG00000106077"
"85","ENSG00000100997"
"86","ENSG00000131969"
"87","ENSG00000139826"
"88","ENSG00000248487"
