"","ensembl_gene_id_orig","ensembl_gene_id","symbol","chromosome","start","end","size"
"1","ENSG00000148584","ENSG00000148584","A1CF","10",50799409,50885675,86266
"2","ENSG00000175899","ENSG00000175899","A2M","12",9067664,9116229,48565
"3","ENSG00000128274","ENSG00000128274","A4GALT","22",42692121,42721298,29177
"4","ENSG00000118017","ENSG00000118017","A4GNT","3",138123713,138132390,8677
"5","ENSG00000094914","ENSG00000094914","AAAS","12",53307456,53324864,17408
"6","ENSG00000081760","ENSG00000081760","AACS","12",125065434,125143333,77899
"7","ENSG00000114771","ENSG00000114771","AADAC","3",151814073,151828488,14415
"8","ENSG00000103591","ENSG00000103591","AAGAB","15",67200667,67255195,54528
"9","ENSG00000115977","ENSG00000115977","AAK1","2",69457997,69674349,216352
"10","ENSG00000087884","ENSG00000087884","AAMDC","11",77821109,77918432,97323
"11","ENSG00000127837","ENSG00000127837","AAMP","2",218264129,218270178,6049
"12","ENSG00000131043","ENSG00000131043","AAR2","20",36236131,36270918,34787
"13","ENSG00000149313","ENSG00000149313","AASDHPPT","11",106075501,106098699,23198
"14","ENSG00000008311","ENSG00000008311","AASS","7",122064583,122144308,79725
"15","ENSG00000276072","ENSG00000276072","AATF","HSCHR17_7_CTG4",1185240,1293236,107996
"16","ENSG00000181409","ENSG00000181409","AATK","17",81110487,81166221,55734
"17","ENSG00000183044","ENSG00000183044","ABAT","16",8674596,8784575,109979
"18","ENSG00000165029","ENSG00000165029","ABCA1","9",104781006,104928155,147149
"19","ENSG00000107331","ENSG00000107331","ABCA2","9",137007234,137028915,21681
"20","ENSG00000167972","ENSG00000167972","ABCA3","16",2275881,2340746,64865
"21","ENSG00000198691","ENSG00000198691","ABCA4","1",93992834,94121148,128314
"22","ENSG00000154265","ENSG00000154265","ABCA5","17",69244311,69327244,82933
"23","ENSG00000154262","ENSG00000154262","ABCA6","17",69078702,69141895,63193
"24","ENSG00000064687","ENSG00000064687","ABCA7","19",1039997,1065572,25575
"25","ENSG00000141338","ENSG00000141338","ABCA8","17",68867289,68955392,88103
"26","ENSG00000085563","ENSG00000085563","ABCB1","7",87503017,87713323,210306
